station,catch,vessel,size,status
510C,0,S,Legal,
511A,0,S,Legal,
535A,0,S,Legal,
535C,1,S,Legal,
535C,1,S,Legal,
535A,1,S,Legal,
255B,1,S,Legal,
255A,0,S,Legal,
256,0,S,Legal,
257,0,S,Legal,
283B,1,S,Legal,
283A,0,S,Legal,
313,0,S,Legal,
CHA,0,S,Legal,
CHB,5,S,Legal,
CHF,0,S,Legal,
CHK,1,S,Legal,
CHL,0,S,Legal,
KZG,0,S,Legal,
KZJ,0,S,Legal,
KZK,0,S,Legal,
KZO,0,S,Legal,
KZR,58,S,Legal,
KZS,113,S,Legal,
MOGX,0,S,Legal,
MOLA,0,S,Legal,
MONX,0,S,Legal,
MOPA,0,S,Legal,
MOLB,0,S,Legal,
MOXA,0,S,Legal,
MOXB,0,S,Legal,
CHL,1,R,Legal,
CHF,7,R,Legal,
UGB,1,R,Legal,
UGC,8,R,Legal,
UGD,2,R,Legal,
UGE,3,R,Legal,
UGI,0,R,Legal,
UGM,36,R,Legal,
510D,6,R,Legal,
KLI,0,R,Legal,
510C,0,R,Legal,
511A,0,R,Legal,
535A,0,R,Legal,
535C,0,R,Legal,
535C,1,R,Legal,
535A,0,R,Legal,
510C,0,R,Legal,
511A,0,R,Legal,
535A,0,R,Legal,
535C,3,R,Legal,
535C,0,R,Legal,
535A,1,R,Legal,
255B,1,R,Legal,
255A,0,R,Legal,
256,0,R,Legal,
257,0,R,Legal,
283B,0,R,Legal,
283A,0,R,Legal,
313,0,R,Legal,
CHA,0,R,Legal,
CHB,1,R,Legal,
CHF,1,R,Legal,
CHK,0,R,Legal,
CHL,0,R,Legal,
KZG,1,R,Legal,
KZJ,0,R,Legal,
KZK,0,R,Legal,
KZO,1,R,Legal,
KZR,16,R,Legal,
KZS,8,R,Legal,
MOGX,0,R,Legal,
MOLA,0,R,Legal,
MONX,0,R,Legal,
MOPA,0,R,Legal,
MOLB,0,R,Legal,
MOXA,0,R,Legal,
MOXB,0,R,Legal,
CHL,0,S,Recruit,
CHF,0,S,Recruit,
UGB,0,S,Recruit,
UGC,1,S,Recruit,
UGD,1,S,Recruit,
UGE,10,S,Recruit,
UGI,1,S,Recruit,
UGM,40,S,Recruit,
510D,0,S,Recruit,
KLI,0,S,Recruit,
510C,0,S,Recruit,
511A,0,S,Recruit,
535A,0,S,Recruit,
535C,1,S,Recruit,
535C,1,S,Recruit,
535A,2,S,Recruit,
510C,0,S,Recruit,
511A,0,S,Recruit,
535A,0,S,Recruit,
535C,1,S,Recruit,
535C,1,S,Recruit,
535A,1,S,Recruit,
255B,1,S,Recruit,
255A,0,S,Recruit,
256,0,S,Recruit,
257,0,S,Recruit,
283B,0,S,Recruit,
283A,0,S,Recruit,
313,0,S,Recruit,
CHA,0,S,Recruit,
CHB,5,S,Recruit,
CHF,0,S,Recruit,
CHK,0,S,Recruit,
CHL,0,S,Recruit,
KZG,0,S,Recruit,
KZJ,0,S,Recruit,
KZK,0,S,Recruit,
KZO,0,S,Recruit,
KZR,54,S,Recruit,
KZS,81,S,Recruit,
MOGX,0,S,Recruit,
MOLA,0,S,Recruit,
MONX,0,S,Recruit,
MOPA,0,S,Recruit,
MOLB,0,S,Recruit,
MOXA,0,S,Recruit,
MOXB,0,S,Recruit,
CHL,1,R,Recruit,
CHF,7,R,Recruit,
UGB,0,R,Recruit,
UGC,7,R,Recruit,
UGD,2,R,Recruit,
UGE,3,R,Recruit,
UGI,0,R,Recruit,
UGM,32,R,Recruit,
510D,6,R,Recruit,
KLI,0,R,Recruit,
510C,0,R,Recruit,
511A,0,R,Recruit,
535A,0,R,Recruit,
535C,0,R,Recruit,
535C,1,R,Recruit,
535A,0,R,Recruit,
510C,0,R,Recruit,
511A,0,R,Recruit,
535A,0,R,Recruit,
535C,3,R,Recruit,
535C,0,R,Recruit,
535A,1,R,Recruit,
255B,1,R,Recruit,
255A,0,R,Recruit,
256,0,R,Recruit,
257,0,R,Recruit,
283B,0,R,Recruit,
283A,0,R,Recruit,
313,0,R,Recruit,
CHA,0,R,Recruit,
CHB,1,R,Recruit,
CHF,1,R,Recruit,
CHK,0,R,Recruit,
CHL,0,R,Recruit,
KZG,1,R,Recruit,
KZJ,0,R,Recruit,
KZK,0,R,Recruit,
KZO,1,R,Recruit,
KZR,15,R,Recruit,
KZS,8,R,Recruit,
MOGX,0,R,Recruit,
MOLA,0,R,Recruit,
MONX,0,R,Recruit,
MOPA,0,R,Recruit,
MOLB,0,R,Recruit,
MOXA,0,R,Recruit,
MOXB,0,R,Recruit,
CHL,0,S,Sub Mature,sub
CHF,2,S,Sub Mature,sub
UGB,1,S,Sub Mature,sub
UGC,3,S,Sub Mature,sub
UGD,11,S,Sub Mature,sub
UGE,329,S,Sub Mature,sub
UGI,13,S,Sub Mature,sub
UGM,680,S,Sub Mature,sub
510D,287,S,Sub Mature,sub
KLI,7,S,Sub Mature,sub
510C,0,S,Sub Mature,sub
511A,1,S,Sub Mature,sub
535A,0,S,Sub Mature,sub
535C,3,S,Sub Mature,sub
535C,5,S,Sub Mature,sub
535A,6,S,Sub Mature,sub
510C,0,S,Sub Mature,sub
511A,1,S,Sub Mature,sub
535A,3,S,Sub Mature,sub
535C,8,S,Sub Mature,sub
535C,11,S,Sub Mature,sub
535A,3,S,Sub Mature,sub
255B,5,S,Sub Mature,sub
255A,1,S,Sub Mature,sub
256,2,S,Sub Mature,sub
257,0,S,Sub Mature,sub
283B,10,S,Sub Mature,sub
283A,2,S,Sub Mature,sub
313,0,S,Sub Mature,sub
CHA,0,S,Sub Mature,sub
CHB,71,S,Sub Mature,sub
CHF,2,S,Sub Mature,sub
CHK,13,S,Sub Mature,sub
CHL,0,S,Sub Mature,sub
KZG,5,S,Sub Mature,sub
KZJ,0,S,Sub Mature,sub
KZK,9,S,Sub Mature,sub
KZO,4,S,Sub Mature,sub
KZR,105,S,Sub Mature,sub
KZS,140,S,Sub Mature,sub
MOGX,1,S,Sub Mature,sub
MOLA,3,S,Sub Mature,sub
MONX,0,S,Sub Mature,sub
MOPA,1,S,Sub Mature,sub
MOLB,0,S,Sub Mature,sub
MOXA,0,S,Sub Mature,sub
MOXB,0,S,Sub Mature,sub
CHL,0,R,Sub Mature,sub
CHF,40,R,Sub Mature,sub
UGB,0,R,Sub Mature,sub
UGC,12,R,Sub Mature,sub
UGD,12,R,Sub Mature,sub
UGE,22,R,Sub Mature,sub
UGI,4,R,Sub Mature,sub
UGM,478,R,Sub Mature,sub
510D,91,R,Sub Mature,sub
KLI,6,R,Sub Mature,sub
510C,0,R,Sub Mature,sub
511A,3,R,Sub Mature,sub
535A,4,R,Sub Mature,sub
535C,5,R,Sub Mature,sub
535C,9,R,Sub Mature,sub
535A,2,R,Sub Mature,sub
510C,1,R,Sub Mature,sub
511A,1,R,Sub Mature,sub
535A,2,R,Sub Mature,sub
535C,5,R,Sub Mature,sub
535C,8,R,Sub Mature,sub
535A,4,R,Sub Mature,sub
255B,1,R,Sub Mature,sub
255A,1,R,Sub Mature,sub
256,2,R,Sub Mature,sub
257,0,R,Sub Mature,sub
283B,1,R,Sub Mature,sub
283A,2,R,Sub Mature,sub
313,0,R,Sub Mature,sub
CHA,0,R,Sub Mature,sub
CHB,5,R,Sub Mature,sub
CHF,7,R,Sub Mature,sub
CHK,0,R,Sub Mature,sub
CHL,0,R,Sub Mature,sub
KZG,10,R,Sub Mature,sub
KZJ,1,R,Sub Mature,sub
KZK,2,R,Sub Mature,sub
KZO,15,R,Sub Mature,sub
KZR,42,R,Sub Mature,sub
KZS,14,R,Sub Mature,sub
MOGX,1,R,Sub Mature,sub
MOLA,2,R,Sub Mature,sub
MONX,1,R,Sub Mature,sub
MOPA,2,R,Sub Mature,sub
MOLB,0,R,Sub Mature,sub
MOXA,0,R,Sub Mature,sub
MOXB,0,R,Sub Mature,sub
CHL,2,S,92_114,sub
CHF,5,S,92_114,sub
UGB,2,S,92_114,sub
UGC,4,S,92_114,sub
UGD,4,S,92_114,sub
UGE,137,S,92_114,sub
UGI,12,S,92_114,sub
UGM,444,S,92_114,sub
510D,134,S,92_114,sub
KLI,2,S,92_114,sub
510C,1,S,92_114,sub
511A,4,S,92_114,sub
535A,8,S,92_114,sub
535C,7,S,92_114,sub
535C,5,S,92_114,sub
535A,8,S,92_114,sub
510C,0,S,92_114,sub
511A,5,S,92_114,sub
535A,5,S,92_114,sub
535C,5,S,92_114,sub
535C,8,S,92_114,sub
535A,11,S,92_114,sub
255B,18,S,92_114,sub
255A,4,S,92_114,sub
256,6,S,92_114,sub
257,0,S,92_114,sub
283B,24,S,92_114,sub
283A,29,S,92_114,sub
313,3,S,92_114,sub
CHA,0,S,92_114,sub
CHB,55,S,92_114,sub
CHF,19,S,92_114,sub
CHK,25,S,92_114,sub
CHL,1,S,92_114,sub
KZG,22,S,92_114,sub
KZJ,0,S,92_114,sub
KZK,24,S,92_114,sub
KZO,26,S,92_114,sub
KZR,173,S,92_114,sub
KZS,104,S,92_114,sub
MOGX,6,S,92_114,sub
MOLA,5,S,92_114,sub
MONX,5,S,92_114,sub
MOPA,3,S,92_114,sub
MOLB,0,S,92_114,sub
MOXA,0,S,92_114,sub
MOXB,1,S,92_114,sub
CHL,0,R,92_114,sub
CHF,20,R,92_114,sub
UGB,1,R,92_114,sub
UGC,5,R,92_114,sub
UGD,7,R,92_114,sub
UGE,19,R,92_114,sub
UGI,11,R,92_114,sub
UGM,200,R,92_114,sub
510D,96,R,92_114,sub
KLI,0,R,92_114,sub
510C,2,R,92_114,sub
511A,5,R,92_114,sub
535A,5,R,92_114,sub
535C,4,R,92_114,sub
535C,1,R,92_114,sub
535A,4,R,92_114,sub
510C,2,R,92_114,sub
511A,4,R,92_114,sub
535A,8,R,92_114,sub
535C,4,R,92_114,sub
535C,5,R,92_114,sub
535A,3,R,92_114,sub
255B,4,R,92_114,sub
255A,2,R,92_114,sub
256,6,R,92_114,sub
257,0,R,92_114,sub
283B,2,R,92_114,sub
283A,6,R,92_114,sub
313,1,R,92_114,sub
CHA,2,R,92_114,sub
CHB,18,R,92_114,sub
CHF,33,R,92_114,sub
CHK,1,R,92_114,sub
CHL,1,R,92_114,sub
KZG,24,R,92_114,sub
KZJ,0,R,92_114,sub
KZK,23,R,92_114,sub
KZO,45,R,92_114,sub
KZR,75,R,92_114,sub
KZS,18,R,92_114,sub
MOGX,5,R,92_114,sub
MOLA,10,R,92_114,sub
MONX,4,R,92_114,sub
MOPA,6,R,92_114,sub
MOLB,0,R,92_114,sub
MOXA,1,R,92_114,sub
MOXB,0,R,92_114,sub
